Time,Value
53.7,28.54054
53.75,28.57391
53.8,28.57065
53.85,28.60903
53.9,28.40654
53.95,28.72485
54,28.67852
54.05,28.46713
54.1,27.83264
54.15,27.77066
54.2,27.62064
54.25,27.45937
54.3,27.37862
54.35,27.48752
54.4,27.5753
54.45,27.61362
54.5,27.80743
54.55,27.88986
54.6,27.87698
54.65,27.64084
54.7,27.39772
54.75,27.27716
54.8,27.12687
54.85,26.78257
54.9,26.85702
54.95,26.74991
55,26.4525
55.05,26.33327
55.1,26.33746
55.15,26.2816
55.2,26.29016
55.25,26.30978
55.3,26.19521
55.35,26.27226
55.4,25.61389
55.45,25.57393
55.5,25.65994
55.55,25.80372
55.6,25.60882
55.65,25.57926
55.7,25.65429
55.75,25.5314
55.8,25.1597
55.85,24.72972
55.9,24.49058
55.95,24.34066
56,24.48592
56.05,24.51829
56.1,24.51809
56.15,24.68256
56.2,24.43364
56.25,24.09384
56.3,24.02368
56.35,24.16769
56.4,24.32163
56.45,24.24808
56.5,23.92052
56.55,23.65984
56.6,23.62639
56.65,23.45665
56.7,23.42108
56.75,23.53721
56.8,23.65763
56.85,23.74235
56.9,23.62043
56.95,23.50984
57,23.51801
57.05,23.36348
57.1,22.9354
57.15,22.59042
57.2,22.62931
57.25,22.81801
57.3,22.81626
57.35,22.64873
57.4,22.9422
57.45,22.56789
57.5,22.20736
57.55,22.0054
57.6,21.93735
57.65,21.82085
57.7,21.71401
57.75,21.6064
57.8,21.59095
57.85,21.57602
57.9,21.41642
57.95,21.35828
58,20.92761
58.05,20.59381
58.1,20.75222
58.15,20.72426
58.2,20.62275
58.25,20.75992
58.3,20.86016
58.35,20.86103
58.4,20.69518
58.45,20.4518
58.5,20.37156
58.55,20.25629
58.6,19.70696
58.65,19.27978
58.7,19.21698
58.75,19.30677
58.8,19.40526
58.85,19.56287
58.9,19.52852
58.95,19.3589
59,18.94728
59.05,18.61136
59.1,18.56451
59.15,18.46655
59.2,18.3803
59.25,18.57299
59.3,18.53213
59.35,18.54671
59.4,18.51044
59.45,18.61572
59.5,18.35165
59.55,17.99233
59.6,17.55099
59.65,17.53379
59.7,17.26498
59.75,17.06841
59.8,17.18785
59.85,17.34531
59.9,17.16561
59.95,16.70496
60,16.61016
60.05,16.74681
60.1,17.00157
60.15,17.15116
60.2,17.41504
60.25,17.45367
60.3,17.0644
60.35,16.50293
60.4,16.15075
60.45,15.95422
60.5,15.68409
60.55,15.44341
60.6,15.43096
60.65,15.44955
60.7,15.3373
60.75,15.34638
60.8,15.38643
60.85,15.48503
60.9,15.40255
60.95,15.22835
61,14.7983
61.05,14.49311
61.1,14.21444
61.15,14.20029
61.2,14.44536
61.25,14.70324
61.3,14.98346
61.35,15.15533
61.4,15.17838
61.45,14.91099
61.5,14.9874
61.55,14.77058
61.6,14.50635
61.65,14.22482
61.7,14.10058
61.75,13.86613
61.8,13.52421
61.85,13.26918
61.9,13.28521
61.95,13.52836
62,13.70371
62.05,13.7418
62.1,13.74798
62.15,13.618
62.2,13.10691
62.25,12.69464
62.3,12.7206
62.35,12.93677
62.4,12.98971
62.45,13.06662
62.5,13.14597
62.55,13.11915
62.6,12.78754
62.65,12.16763
62.7,11.83248
62.75,11.61606
62.8,11.48567
62.85,11.53262
62.9,11.83681
62.95,11.86616
63,11.63363
63.05,11.28426
63.1,11.23418
63.15,11.38899
63.2,11.50206
63.25,11.51574
63.3,11.46258
63.35,11.2911
63.4,10.93663
63.45,10.6054
63.5,10.52161
63.55,10.68405
